Date, Open, High, Low, Close, Volume
03/06/24, 179.99, 181.576, 173.70, 176.54, 107920898
03/05/24, 183.05, 184.59, 177.57, 180.74, 119660797
03/04/24, 198.73, 199.75, 186.72, 188.14, 134334891
03/01/24, 200.52, 204.52, 198.50, 202.64, 82243117
02/29/24, 204.18, 205.28, 198.4463, 201.88, 85906969
02/28/24, 200.42, 205.30, 198.44, 202.04, 99806172
02/27/24, 204.04, 205.60, 198.26, 199.73, 108645398
02/26/24, 192.29, 201.78, 192.00, 199.40, 111747102
02/23/24, 195.31, 197.57, 191.50, 191.97, 78841922
02/22/24, 194.00, 198.32, 191.36, 197.41, 92739453
02/21/24, 193.36, 199.44, 191.95, 194.77, 103844000
02/20/24, 196.13, 198.60, 189.13, 193.76, 104545797
02/16/24, 202.06, 203.17, 197.40, 199.95, 111346703
02/15/24, 189.16, 200.88, 188.8595, 200.45, 120831797
02/14/24, 185.30, 188.89, 183.35, 188.71, 81202992
02/13/24, 183.99, 187.26, 182.1087, 184.02, 86759477
02/12/24, 192.11, 194.73, 187.28, 188.13, 95498602
02/09/24, 190.18, 194.12, 189.48, 193.57, 84476352
02/08/24, 189.00, 191.6171, 185.58, 189.56, 83034039
02/07/24, 188.18, 189.79, 182.68, 187.58, 111535203
02/06/24, 177.21, 186.49, 177.11, 185.10, 122676000
02/05/24, 184.26, 184.68, 175.01, 181.06, 134294406
02/02/24, 185.04, 188.69, 182.00, 187.91, 110612703
02/01/24, 188.50, 189.88, 184.28, 188.86, 91843281
01/31/24, 186.995, 193.97, 185.8459, 187.29, 103221398
01/30/24, 195.33, 196.3593, 190.61, 191.59, 109982305
01/29/24, 185.63, 191.48, 183.67, 190.93, 125013102
01/26/24, 185.50, 186.78, 182.10, 183.25, 107343203
01/25/24, 189.70, 193.00, 180.06, 182.63, 198076797
01/24/24, 211.88, 212.73, 206.77, 207.83, 123369906
01/23/24, 211.30, 215.65, 207.7516, 209.14, 106605906
01/22/24, 212.26, 217.80, 206.27, 208.80, 117952492
01/19/24, 209.99, 213.19, 207.56, 212.19, 102260305
01/18/24, 216.88, 217.45, 208.74, 211.88, 108595398
01/17/24, 214.86, 215.67, 212.01, 215.55, 103164398
01/16/24, 215.10, 223.49, 212.18, 219.91, 115355000
01/12/24, 220.08, 225.34, 217.1501, 218.89, 123043797
01/11/24, 230.57, 230.93, 225.37, 227.22, 105873602
01/10/24, 235.10, 235.50, 231.29, 233.94, 91628492
01/09/24, 238.11, 238.9646, 232.04, 234.96, 96705664
01/08/24, 236.14, 241.25, 235.30, 240.45, 85166578
01/05/24, 236.86, 240.1196, 234.9001, 237.49, 92488945
01/04/24, 239.25, 242.70, 237.73, 237.93, 102629297
01/03/24, 244.98, 245.68, 236.32, 238.45, 121082602
01/02/24, 250.08, 251.25, 244.41, 248.42, 104654203
12/29/23, 255.10, 255.19, 247.43, 248.48, 100891602
12/28/23, 263.66, 265.13, 252.71, 253.18, 113619906
12/27/23, 258.35, 263.34, 257.52, 261.44, 106494398
12/26/23, 254.49, 257.97, 252.91, 256.61, 86892383
12/22/23, 256.76, 258.22, 251.37, 252.54, 93370086
